company,sources,industry,headquarters
3M,"sp500,sec_edgar",Industrials,"Saint Paul, Minnesota"
A. O. Smith,sp500,Industrials,"Milwaukee, Wisconsin"
Abbott Laboratories,"sp500,sec_edgar",Health Care,"North Chicago, Illinois"
AbbVie,"sp500,largest_us,sec_edgar",Health Care,"North Chicago, Illinois"
Accenture,sp500,Information Technology,"Dublin, Ireland"
Adobe Inc.,"sp500,sec_edgar",Information Technology,"San Jose, California"
Advanced Micro Devices,"sp500,sec_edgar",Information Technology,"Santa Clara, California"
AES Corporation,"sp500,sec_edgar",Utilities,"Arlington, Virginia"
Aflac,"sp500,sec_edgar",Financials,"Columbus, Georgia"
Agilent Technologies,"sp500,sec_edgar",Health Care,"Santa Clara, California"
Air Products,sp500,Materials,"Upper Macungie Township, Pennsylvania"
Airbnb,"sp500,sec_edgar",Consumer Discretionary,"San Francisco, California"
Akamai Technologies,"sp500,sec_edgar",Information Technology,"Cambridge, Massachusetts"
Albemarle Corporation,"sp500,sec_edgar,sec_edgar",Materials,"Charlotte, North Carolina"
Alexandria Real Estate Equities,"sp500,sec_edgar",Real Estate,"Pasadena, California"
Align Technology,"sp500,sec_edgar",Health Care,"Tempe, Arizona"
Allegion,sp500,Industrials,"Dublin, Ireland"
Alliant Energy,"sp500,sec_edgar",Utilities,"Madison, Wisconsin"
Allstate,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Financials,"Northbrook, Illinois"
Alphabet Inc.(Class A),"sp500,sp500,largest_us,sec_edgar,sec_edgar",Communication Services,"Mountain View, California"
Altria,"sp500,sec_edgar",Consumer Staples,"Richmond, Virginia"
Amazon,"sp500,largest_us",Consumer Discretionary,"Seattle, Washington"
Amcor,sp500,Materials,"Warmley,Bristol, United Kingdom"
Ameren,"sp500,sec_edgar",Utilities,"St. Louis, Missouri"
American Electric Power,"sp500,sec_edgar",Utilities,"Columbus, Ohio"
American Express,"sp500,largest_us,sec_edgar",Financials,"New York City, New York"
American International Group,"sp500,sec_edgar",Financials,"New York City, New York"
American Tower,sp500,Real Estate,"Boston, Massachusetts"
American Water Works,"sp500,sec_edgar",Utilities,"Camden, New Jersey"
Ameriprise Financial,"sp500,sec_edgar",Financials,"Minneapolis, Minnesota"
Ametek,"sp500,sec_edgar",Industrials,"Berwyn, Pennsylvania"
Amgen,"sp500,sec_edgar",Health Care,"Thousand Oaks, California"
Amphenol,sp500,Information Technology,"Wallingford, Connecticut"
Analog Devices,"sp500,sec_edgar",Information Technology,"Wilmington, Massachusetts"
Aon plc,"sp500,sec_edgar",Financials,"London, United Kingdom"
APA Corporation,"sp500,sec_edgar",Energy,"Houston, Texas"
Apollo Global Management,"sp500,sec_edgar,sec_edgar,sec_edgar",Financials,"New York City, New York"
Apple Inc.,"sp500,largest_us,sec_edgar",Information Technology,"Cupertino, California"
Applied Materials,sp500,Information Technology,"Santa Clara, California"
AppLovin,"sp500,sec_edgar",Information Technology,"Palo Alto, California"
Aptiv,sp500,Consumer Discretionary,"Schaffhausen, Switzerland"
Arch Capital Group,"sp500,sec_edgar,sec_edgar,sec_edgar",Financials,"Hamilton, Bermuda"
Archer Daniels Midland,"sp500,largest_us,sec_edgar",Consumer Staples,"Chicago, Illinois"
Ares Management,"sp500,sec_edgar,sec_edgar",Financials,"Los Angeles, California"
Arista Networks,"sp500,sec_edgar",Information Technology,"Santa Clara, California"
Arthur J. Gallagher & Co.,"sp500,sec_edgar",Financials,"Rolling Meadows, Illinois"
Assurant,"sp500,sec_edgar,sec_edgar",Financials,"Atlanta, Georgia"
AT&T,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Communication Services,"Dallas, Texas"
Atmos Energy,"sp500,sec_edgar",Utilities,"Dallas, Texas"
Autodesk,"sp500,sec_edgar",Information Technology,"San Francisco, California"
Automatic Data Processing,"sp500,sec_edgar",Industrials,"Roseland, New Jersey"
AutoZone,"sp500,sec_edgar",Consumer Discretionary,"Memphis, Tennessee"
AvalonBay Communities,"sp500,sec_edgar",Real Estate,"Arlington, Virginia"
Avery Dennison,"sp500,sec_edgar",Materials,"Mentor, Ohio"
Axon Enterprise,"sp500,sec_edgar",Industrials,"Scottsdale, Arizona"
Baker Hughes,"sp500,sec_edgar",Energy,"Houston, Texas"
Ball Corporation,"sp500,sec_edgar",Materials,"Broomfield, Colorado"
Bank of America,"sp500,largest_us",Financials,"Charlotte, North Carolina"
Baxter International,"sp500,sec_edgar",Health Care,"Deerfield, Illinois"
Becton Dickinson,"sp500,sec_edgar",Health Care,"Franklin Lakes, New Jersey"
Berkshire Hathaway,"sp500,largest_us,sec_edgar,sec_edgar",Financials,"Omaha, Nebraska"
Best Buy,"sp500,sec_edgar",Consumer Discretionary,"Richfield, Minnesota"
Bio-Techne,"sp500,sec_edgar",Health Care,"Minneapolis, Minnesota"
Biogen,"sp500,sec_edgar",Health Care,"Cambridge, Massachusetts"
BlackRock,"sp500,sec_edgar",Financials,"New York City, New York"
Blackstone Inc.,"sp500,sec_edgar",Financials,"New York City, New York"
"Block, Inc.","sp500,sec_edgar,sec_edgar",Financials,none
BNY Mellon,sp500,Financials,"New York City, New York"
Boeing,"sp500,largest_us,sec_edgar,sec_edgar",Industrials,"Arlington, Virginia"
Booking Holdings,"sp500,sec_edgar",Consumer Discretionary,"Norwalk, Connecticut"
Boston Scientific,"sp500,sec_edgar",Health Care,"Marlborough, Massachusetts"
Bristol Myers Squibb,"sp500,largest_us,sec_edgar,sec_edgar",Health Care,"New York City, New York"
Broadcom,"sp500,largest_us,sec_edgar",Information Technology,"Palo Alto, California"
Broadridge Financial Solutions,"sp500,sec_edgar",Industrials,"Lake Success, New York"
Brown & Brown,"sp500,sec_edgar",Financials,"Daytona Beach, Florida"
Brown–Forman,"sp500,sec_edgar,sec_edgar",Consumer Staples,"Louisville, Kentucky"
Builders FirstSource,"sp500,sec_edgar",Industrials,"Irving, Texas"
Bunge Global,sp500,Consumer Staples,"Chesterfield, Missouri"
"BXP, Inc.","sp500,sec_edgar",Real Estate,"Boston, Massachusetts"
C.H. Robinson,sp500,Industrials,"Eden Prairie, Minnesota"
Cadence Design Systems,"sp500,sec_edgar",Information Technology,"San Jose, California"
Camden Property Trust,"sp500,sec_edgar",Real Estate,"Houston, Texas"
Campbell's Company (The),"sp500,sec_edgar",Consumer Staples,"Camden, New Jersey"
Capital One,sp500,Financials,"Tysons Corner, Virginia"
Cardinal Health,"sp500,largest_us,sec_edgar",Health Care,"Dublin, Ohio"
Carnival Corporation,"sp500,sec_edgar",Consumer Discretionary,"Miami, Florida"
Carrier Global,"sp500,sec_edgar",Industrials,"Palm Beach Gardens, Florida"
Carvana,"sp500,sec_edgar",Consumer Discretionary,"Tempe, Arizona"
Casey's,sp500,Consumer Staples,"Ankeny, Iowa"
Caterpillar Inc.,"sp500,largest_us,sec_edgar",Industrials,"Irving, Texas"
Cboe Global Markets,"sp500,sec_edgar",Financials,"Chicago, Illinois"
CBRE Group,"sp500,sec_edgar",Real Estate,"Dallas, Texas"
CDW Corporation,"sp500,sec_edgar",Information Technology,"Vernon Hills, Illinois"
Cencora,"sp500,largest_us,sec_edgar",Health Care,"Conshohocken, Pennsylvania"
Centene Corporation,"sp500,largest_us,sec_edgar",Health Care,"St. Louis, Missouri"
CenterPoint Energy,"sp500,sec_edgar",Utilities,"Houston, Texas"
CF Industries,sp500,Materials,"Deerfield, Illinois"
Charles River Laboratories,sp500,Health Care,"Wilmington, Massachusetts"
Charles Schwab Corporation,sp500,Financials,"Westlake, Texas"
Charter Communications,"sp500,largest_us",Communication Services,"Stamford, Connecticut"
Chevron Corporation,"sp500,largest_us,sec_edgar",Energy,"Houston, Texas"
Chipotle Mexican Grill,"sp500,sec_edgar",Consumer Discretionary,"Newport Beach, California"
