company,sources,headquarters,industry,found_ats,verified_slug,job_count
3M,"sp500,sec_edgar","Saint Paul, Minnesota",Industrials,,,0
A. O. Smith,sp500,"Milwaukee, Wisconsin",Industrials,,,0
Abbott Laboratories,"sp500,sec_edgar","North Chicago, Illinois",Health Care,,,0
AbbVie,"sp500,largest_us,sec_edgar","North Chicago, Illinois",Health Care,,,0
Accenture,sp500,"Dublin, Ireland",Information Technology,,,0
Adobe Inc.,"sp500,sec_edgar","San Jose, California",Information Technology,,,0
Advanced Micro Devices,"sp500,sec_edgar","Santa Clara, California",Information Technology,,,0
AES Corporation,"sp500,sec_edgar","Arlington, Virginia",Utilities,,,0
Aflac,"sp500,sec_edgar","Columbus, Georgia",Financials,,,0
Agilent Technologies,"sp500,sec_edgar","Santa Clara, California",Health Care,,,0
Air Products,sp500,"Upper Macungie Township, Pennsylvania",Materials,,,0
Airbnb,"sp500,sec_edgar","San Francisco, California",Consumer Discretionary,greenhouse,airbnb,238
Akamai Technologies,"sp500,sec_edgar","Cambridge, Massachusetts",Information Technology,,,0
Albemarle Corporation,"sp500,sec_edgar,sec_edgar","Charlotte, North Carolina",Materials,,,0
Alexandria Real Estate Equities,"sp500,sec_edgar","Pasadena, California",Real Estate,,,0
Align Technology,"sp500,sec_edgar","Tempe, Arizona",Health Care,greenhouse,align,25
Allegion,sp500,"Dublin, Ireland",Industrials,,,0
Alliant Energy,"sp500,sec_edgar","Madison, Wisconsin",Utilities,,,0
Allstate,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar","Northbrook, Illinois",Financials,,,0
Alphabet Inc.(Class A),"sp500,sp500,largest_us,sec_edgar,sec_edgar","Mountain View, California",Communication Services,,,0
Altria,"sp500,sec_edgar","Richmond, Virginia",Consumer Staples,,,0
Amazon,"sp500,largest_us","Seattle, Washington",Consumer Discretionary,,,0
Amcor,sp500,"Warmley,Bristol, United Kingdom",Materials,,,0
Ameren,"sp500,sec_edgar","St. Louis, Missouri",Utilities,,,0
American Electric Power,"sp500,sec_edgar","Columbus, Ohio",Utilities,,,0
American Express,"sp500,largest_us,sec_edgar","New York City, New York",Financials,,,0
American International Group,"sp500,sec_edgar","New York City, New York",Financials,,,0
American Tower,sp500,"Boston, Massachusetts",Real Estate,,,0
American Water Works,"sp500,sec_edgar","Camden, New Jersey",Utilities,,,0
Ameriprise Financial,"sp500,sec_edgar","Minneapolis, Minnesota",Financials,,,0
Ametek,"sp500,sec_edgar","Berwyn, Pennsylvania",Industrials,,,0
Amgen,"sp500,sec_edgar","Thousand Oaks, California",Health Care,,,0
Amphenol,sp500,"Wallingford, Connecticut",Information Technology,,,0
Analog Devices,"sp500,sec_edgar","Wilmington, Massachusetts",Information Technology,,,0
Aon plc,"sp500,sec_edgar","London, United Kingdom",Financials,,,0
APA Corporation,"sp500,sec_edgar","Houston, Texas",Energy,,,0
Apollo Global Management,"sp500,sec_edgar,sec_edgar,sec_edgar","New York City, New York",Financials,,,0
Apple Inc.,"sp500,largest_us,sec_edgar","Cupertino, California",Information Technology,,,0
Applied Materials,sp500,"Santa Clara, California",Information Technology,,,0
AppLovin,"sp500,sec_edgar","Palo Alto, California",Information Technology,greenhouse,applovin,29
Aptiv,sp500,"Schaffhausen, Switzerland",Consumer Discretionary,,,0
Arch Capital Group,"sp500,sec_edgar,sec_edgar,sec_edgar","Hamilton, Bermuda",Financials,,,0
Archer Daniels Midland,"sp500,largest_us,sec_edgar","Chicago, Illinois",Consumer Staples,greenhouse,archer,1
Ares Management,"sp500,sec_edgar,sec_edgar","Los Angeles, California",Financials,,,0
Arista Networks,"sp500,sec_edgar","Santa Clara, California",Information Technology,,,0
Arthur J. Gallagher & Co.,"sp500,sec_edgar","Rolling Meadows, Illinois",Financials,,,0
Assurant,"sp500,sec_edgar,sec_edgar","Atlanta, Georgia",Financials,,,0
AT&T,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar","Dallas, Texas",Communication Services,,,0
Atmos Energy,"sp500,sec_edgar","Dallas, Texas",Utilities,,,0
Autodesk,"sp500,sec_edgar","San Francisco, California",Information Technology,,,0
Automatic Data Processing,"sp500,sec_edgar","Roseland, New Jersey",Industrials,,,0
AutoZone,"sp500,sec_edgar","Memphis, Tennessee",Consumer Discretionary,,,0
AvalonBay Communities,"sp500,sec_edgar","Arlington, Virginia",Real Estate,,,0
Avery Dennison,"sp500,sec_edgar","Mentor, Ohio",Materials,,,0
Axon Enterprise,"sp500,sec_edgar","Scottsdale, Arizona",Industrials,greenhouse,axon,562
Baker Hughes,"sp500,sec_edgar","Houston, Texas",Energy,,,0
Ball Corporation,"sp500,sec_edgar","Broomfield, Colorado",Materials,,,0
Bank of America,"sp500,largest_us","Charlotte, North Carolina",Financials,,,0
Baxter International,"sp500,sec_edgar","Deerfield, Illinois",Health Care,,,0
Becton Dickinson,"sp500,sec_edgar","Franklin Lakes, New Jersey",Health Care,,,0
Berkshire Hathaway,"sp500,largest_us,sec_edgar,sec_edgar","Omaha, Nebraska",Financials,,,0
Best Buy,"sp500,sec_edgar","Richfield, Minnesota",Consumer Discretionary,,,0
Bio-Techne,"sp500,sec_edgar","Minneapolis, Minnesota",Health Care,,,0
Biogen,"sp500,sec_edgar","Cambridge, Massachusetts",Health Care,,,0
BlackRock,"sp500,sec_edgar","New York City, New York",Financials,,,0
Blackstone Inc.,"sp500,sec_edgar","New York City, New York",Financials,,,0
"Block, Inc.","sp500,sec_edgar,sec_edgar",none,Financials,greenhouse,block,173
BNY Mellon,sp500,"New York City, New York",Financials,,,0
Boeing,"sp500,largest_us,sec_edgar,sec_edgar","Arlington, Virginia",Industrials,,,0
Booking Holdings,"sp500,sec_edgar","Norwalk, Connecticut",Consumer Discretionary,,,0
Boston Scientific,"sp500,sec_edgar","Marlborough, Massachusetts",Health Care,,,0
Bristol Myers Squibb,"sp500,largest_us,sec_edgar,sec_edgar","New York City, New York",Health Care,,,0
Broadcom,"sp500,largest_us,sec_edgar","Palo Alto, California",Information Technology,,,0
Broadridge Financial Solutions,"sp500,sec_edgar","Lake Success, New York",Industrials,,,0
Brown & Brown,"sp500,sec_edgar","Daytona Beach, Florida",Financials,,,0
Brown–Forman,"sp500,sec_edgar,sec_edgar","Louisville, Kentucky",Consumer Staples,,,0
Builders FirstSource,"sp500,sec_edgar","Irving, Texas",Industrials,,,0
Bunge Global,sp500,"Chesterfield, Missouri",Consumer Staples,,,0
"BXP, Inc.","sp500,sec_edgar","Boston, Massachusetts",Real Estate,,,0
C.H. Robinson,sp500,"Eden Prairie, Minnesota",Industrials,,,0
Cadence Design Systems,"sp500,sec_edgar","San Jose, California",Information Technology,,,0
Camden Property Trust,"sp500,sec_edgar","Houston, Texas",Real Estate,,,0
Campbell's Company (The),"sp500,sec_edgar","Camden, New Jersey",Consumer Staples,,,0
Capital One,sp500,"Tysons Corner, Virginia",Financials,lever,capital,63
Cardinal Health,"sp500,largest_us,sec_edgar","Dublin, Ohio",Health Care,,,0
Carnival Corporation,"sp500,sec_edgar","Miami, Florida",Consumer Discretionary,,,0
Carrier Global,"sp500,sec_edgar","Palm Beach Gardens, Florida",Industrials,,,0
Carvana,"sp500,sec_edgar","Tempe, Arizona",Consumer Discretionary,greenhouse,carvana,2183
Casey's,sp500,"Ankeny, Iowa",Consumer Staples,,,0
Caterpillar Inc.,"sp500,largest_us,sec_edgar","Irving, Texas",Industrials,,,0
Cboe Global Markets,"sp500,sec_edgar","Chicago, Illinois",Financials,,,0
CBRE Group,"sp500,sec_edgar","Dallas, Texas",Real Estate,,,0
CDW Corporation,"sp500,sec_edgar","Vernon Hills, Illinois",Information Technology,,,0
Cencora,"sp500,largest_us,sec_edgar","Conshohocken, Pennsylvania",Health Care,,,0
Centene Corporation,"sp500,largest_us,sec_edgar","St. Louis, Missouri",Health Care,,,0
CenterPoint Energy,"sp500,sec_edgar","Houston, Texas",Utilities,,,0
CF Industries,sp500,"Deerfield, Illinois",Materials,,,0
Charles River Laboratories,sp500,"Wilmington, Massachusetts",Health Care,greenhouse,charles,3
Charles Schwab Corporation,sp500,"Westlake, Texas",Financials,greenhouse,charles,3
Charter Communications,"sp500,largest_us","Stamford, Connecticut",Communication Services,,,0
Chevron Corporation,"sp500,largest_us,sec_edgar","Houston, Texas",Energy,,,0
Chipotle Mexican Grill,"sp500,sec_edgar","Newport Beach, California",Consumer Discretionary,,,0
Chubb Limited,"sp500,sec_edgar","Zurich, Switzerland",Financials,,,0
Church & Dwight,sp500,"Ewing, New Jersey",Consumer Staples,,,0
Ciena,"sp500,sec_edgar","Hanover, Maryland",Information Technology,,,0
Cigna,"sp500,largest_us,sec_edgar","Bloomfield, Connecticut",Health Care,,,0
Cincinnati Financial,"sp500,sec_edgar","Fairfield, Ohio",Financials,,,0
Cintas,"sp500,sec_edgar","Mason, Ohio",Industrials,,,0
Cisco,sp500,"San Jose, California",Information Technology,,,0
Citigroup,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar","New York City, New York",Financials,,,0
Citizens Financial Group,sp500,"Providence, Rhode Island",Financials,,,0
Clorox,sp500,"Oakland, California",Consumer Staples,,,0
CME Group,"sp500,sec_edgar","Chicago, Illinois",Financials,,,0
CMS Energy,"sp500,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar","Jackson, Michigan",Utilities,,,0
Coca-Cola Company (The),"sp500,largest_us,sec_edgar","Atlanta, Georgia",Consumer Staples,,,0
Cognizant,sp500,"Teaneck, New Jersey",Information Technology,,,0
Coherent Corp.,"sp500,sec_edgar","Saxonburg, Pennsylvania",Information Technology,,,0
Coinbase,sp500,"New York City, New York",Financials,,,0
Colgate-Palmolive,"sp500,sec_edgar","New York City, New York",Consumer Staples,,,0
Comcast,"sp500,largest_us,sec_edgar,sec_edgar","Philadelphia, Pennsylvania",Communication Services,,,0
Comfort Systems USA,"sp500,sec_edgar","Houston, Texas",Industrials,,,0
Conagra Brands,"sp500,sec_edgar","Chicago, Illinois",Consumer Staples,,,0
ConocoPhillips,"sp500,largest_us,sec_edgar","Houston, Texas",Energy,,,0
Consolidated Edison,"sp500,sec_edgar","New York City, New York",Utilities,,,0
Constellation Brands,"sp500,sec_edgar","Rochester, New York",Consumer Staples,,,0
Constellation Energy,"sp500,sec_edgar","Baltimore, Maryland",Utilities,,,0
Cooper Companies (The),"sp500,sec_edgar","San Ramon, California",Health Care,,,0
Copart,"sp500,sec_edgar","Dallas, Texas",Industrials,,,0
Corning Inc.,sp500,"Corning, New York",Information Technology,,,0
Corpay,"sp500,sec_edgar","Atlanta, Georgia",Financials,,,0
Corteva,"sp500,sec_edgar","Indianapolis, Indiana",Materials,,,0
CoStar Group,"sp500,sec_edgar","Washington, D.C.",Real Estate,greenhouse,costar,3
Costco,sp500,"Issaquah, Washington",Consumer Staples,,,0
CRH plc,sp500,"Dublin, Ireland",Materials,,,0
CrowdStrike,sp500,"Austin, Texas",Information Technology,,,0
Crown Castle,"sp500,sec_edgar","Houston, Texas",Real Estate,,,0
CSX Corporation,"sp500,sec_edgar","Jacksonville, Florida",Industrials,,,0
Cummins,"sp500,sec_edgar","Columbus, Indiana",Industrials,,,0
CVS Health,"sp500,largest_us,sec_edgar","Woonsocket, Rhode Island",Health Care,,,0
Danaher Corporation,sp500,"Washington, D.C.",Health Care,,,0
Darden Restaurants,"sp500,sec_edgar","Orlando, Florida",Consumer Discretionary,,,0
Datadog,"sp500,sec_edgar","New York City, New York",Information Technology,greenhouse,datadog,411
DaVita,"sp500,sec_edgar","Denver, Colorado",Health Care,,,0
Deckers Brands,sp500,"Goleta, California",Consumer Discretionary,,,0
Deere & Company,"sp500,largest_us,sec_edgar","Moline, Illinois",Industrials,,,0
Dell Technologies,"sp500,largest_us,sec_edgar","Round Rock, Texas",Information Technology,,,0
Delta Air Lines,"sp500,largest_us,sec_edgar","Atlanta, Georgia",Industrials,,,0
Devon Energy,sp500,"Oklahoma City, Oklahoma",Energy,,,0
Dexcom,"sp500,sec_edgar","San Diego, California",Health Care,,,0
Diamondback Energy,"sp500,sec_edgar","Midland, Texas",Energy,,,0
Digital Realty,sp500,"Austin, Texas",Real Estate,,,0
Dollar General,"sp500,sec_edgar","Goodlettsville, Tennessee",Consumer Staples,,,0
Dollar Tree,"sp500,sec_edgar","Chesapeake, Virginia",Consumer Staples,,,0
Dominion Energy,"sp500,sec_edgar","Richmond, Virginia",Utilities,,,0
